name,main_category,subcategory,source_url,image_url,source_vendor,external_id,local_image_path
SQUARE ICE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/square-ice-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43f79c7c80f4680cb461c/1706311573005/ICE+SQUARE+CHARGER.png?format=1500w,Rental Reserve,square-ice-charger,images/chargers/square-ice-charger.png
SILVER BEADED CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc-5edje,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f170b4c39c620a65f7a1/1705332206204/SILVER+BEADED+CHARGER.jpg?format=1500w,Rental Reserve,,images/chargers/SILVER_BEADED_CHARGER.jpg
VERONA ANTIQUE WHITE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/verona-antique-white,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b448eca01eff6233712876/1706318323274/Verona+antique.png?format=1500w,Rental Reserve,verona-antique-white,images/chargers/verona-antique-white.png
VINTAGE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc-5edje-mkp5h-6atjh-c8tl5-mzkje-2p49k-kcxlb-e2cm7,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f2530ca3cf58512f9832/1705332206204/VINTAGE+CHARGER.jpg?format=1500w,Rental Reserve,,images/chargers/VINTAGE_CHARGER.jpg
COPPER CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418ec0ce596587d4b0c1b08/1705332206204/COPPER+CHARGER.jpg?format=1500w,Rental Reserve,black-sunflower-charger-96h2w,images/chargers/black-sunflower-charger-96h2w.jpg
RATAN CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418efc9890a1837ade951fb/1705332206204/RATAN+CHARGER.jpg?format=1500w,Rental Reserve,black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6,images/chargers/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6.jpg
WHITE WASH RATAN CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/white-wash-ratan-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1ed7d81fe34541c5d905b/1706205666827/WhiteWashedRattan-2048x2044.jpg?format=1500w,Rental Reserve,white-wash-ratan-charger,images/chargers/white-wash-ratan-charger.jpg
FLOWER RATAN CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/flower-ratan-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6806bf2c36ea51214f44fa3a/1745272669076/Flower+Rattan+Charger+Mat.png?format=1500w,Rental Reserve,flower-ratan-charger-mat,images/chargers/flower-ratan-charger-mat.png
COTTON PLACEMAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/cotton-placemat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43e74c7c80f4680cb452d/1706311438092/PLACE+MAT.png?format=1500w,Rental Reserve,cotton-placemat,images/chargers/cotton-placemat.png
GOLD MIRROR CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/gold-mirror-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/67981f316c9a8e41d1c68dd4/1738023543520/Untitled+design+%2837%29.png?format=1500w,Rental Reserve,gold-mirror-charger-mat,images/chargers/gold-mirror-charger-mat.png
LAGUNA BLUE - VELVET CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/blue-velvet-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43e150c4dc31a49dbf366/1706497608173/Blue+Velvet+charger+Mat.png?format=1500w,Rental Reserve,blue-velvet-charger-mat,images/chargers/blue-velvet-charger-mat.png
ROSE VELVET CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/rose-velvet-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43df40c4dc31a49dbf353/1706311186458/Rose+Velvet+charger+Mat.png?format=1500w,Rental Reserve,rose-velvet-charger-mat,images/chargers/rose-velvet-charger-mat.png
EGGSHELL VELVET CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/eggshell-velvet-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43d81c7c80f4680cb4484/1706311125077/Eggshell+Velvet+charger+Mat.png?format=1500w,Rental Reserve,eggshell-velvet-charger-mat,images/chargers/eggshell-velvet-charger-mat.png
BLACK VELVET CHARGER MAT,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-velvet-charger-mat,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43dd8c7c80f4680cb44c3/1706311151764/Black+Velvet+charger+Mat.png?format=1500w,Rental Reserve,black-velvet-charger-mat,images/chargers/black-velvet-charger-mat.png
TIGER EYE FLATEWARE,Uncategorized,FLATWARE,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/tiger-eye,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/69a0721ec73fe51244368fd7/1772123300851/Tiger+eye+Cutlery+%283%29.png?format=1500w,Rental Reserve,tiger-eye,images/flatware/tiger-eye.png
